Fjöldi íbúa eftir sveitarfélögum 15. apríl 2018 (og samanburður  við íbúatölur 1. desember 2017),,,,,
Þjóðskrá Íslands - 15. apríl 2018,,,,,
,,,,,
Sveitarfélagsnúmer,Sveitarfélag,Fjöldi - 15. apríl 2018,Fjöldi - 1. des 2017,Fjölgun,Fjölgun í prósentum
Höfuðborgarsvæðið,,224098,222377,1721,"0,007739109710087"
0000,Reykjavík,126771,126108,663,"0,005257398420402"
1000,Kópavogur,36290,35903,387,"0,010779043533967"
1100,Seltjarnarnesbær,4608,4569,39,"0,008535784635588"
1300,Garðabær,15869,15691,178,"0,011344082595118"
1400,Hafnarfjörður,29603,29371,232,"0,007898947941847"
1604,Mosfellsbær,10730,10514,216,"0,020544036522732"
1606,Kjósarhreppur,227,221,6,"0,027149321266968"
Suðurnes ,,26133,25711,422,"0,016413208354401"
2000,Reykjanesbær,18074,17732,342,"0,019287164448455"
2300,Grindavíkurbær,3380,3326,54,"0,016235718580878"
2503,Sandgerðisbær,1807,1785,22,"0,012324929971989"
2504,Sveitarfélagið Garður,1597,1599,-2,"-0,001250781738587"
2506,Sveitarfélagið Vogar,1275,1269,6,"0,004728132387707"
Vesturland,,16348,16229,119,"0,007332552837513"
3000,Akraneskaupstaður,7299,7225,74,"0,010242214532872"
3506,Skorradalshreppur,55,56,-1,"-0,017857142857143"
3511,Hvalfjarðarsveit,649,656,-7,"-0,010670731707317"
3609,Borgarbyggð,3751,3745,6,"0,001602136181575"
3709,Grundarfjarðarbær,888,884,4,"0,004524886877828"
3710,Helgafellssveit,59,59,0,0
3711,Stykkishólmsbær,1186,1178,8,"0,00679117147708"
3713,Eyja- og Miklaholtshreppur,126,123,3,"0,024390243902439"
3714,Snæfellsbær,1672,1637,35,"0,021380574221136"
3811,Dalabyggð,663,666,-3,"-0,004504504504504"
Vestfirðir ,,7036,6992,44,"0,00629290617849"
4100,Bolungarvíkurkaupstaður,935,943,-8,"-0,008483563096501"
4200,Ísafjarðarbær,3771,3709,62,"0,016716095982745"
4502,Reykhólahreppur,278,277,1,"0,003610108303249"
4604,Tálknafjarðarhreppur,244,245,-1,"-0,004081632653061"
4607,Vesturbyggð,1004,1023,-19,"-0,018572825024438"
4803,Súðavíkurhreppur,200,196,4,"0,020408163265306"
4901,Árneshreppur,45,41,4,"0,097560975609756"
4902,Kaldrananeshreppur,108,109,-1,"-0,009174311926605"
4911,Strandabyggð,451,449,2,"0,00445434298441"
Norðurland vestra,,7203,7180,23,"0,003203342618384"
5200,Sveitarfélagið Skagafjörður,3985,3945,40,"0,010139416983523"
5508,Húnaþing vestra,1184,1190,-6,"-0,005042016806723"
5604,Blönduósbær,906,892,14,"0,015695067264574"
5609,Sveitarfélagið Skagaströnd,466,480,-14,"-0,029166666666667"
5611,Skagabyggð,88,92,-4,"-0,043478260869565"
5612,Húnavatnshreppur,379,387,-8,"-0,020671834625323"
5706,Akrahreppur,195,194,1,"0,005154639175258"
Norðurland eystra,,30476,30506,-30,"-0,000983413099062"
6000,Akureyrarkaupstaður,18817,18789,28,"0,001490233647347"
6100,Norðurþing,3202,3278,-76,"-0,023184868822453"
6250,Fjallabyggð,2013,2011,2,"0,000994530084535"
6400,Dalvíkurbyggð,1886,1889,-3,"-0,001588141874007"
6513,Eyjafjarðarsveit,1017,1012,5,"0,004940711462451"
6515,Hörgársveit,596,581,15,"0,025817555938038"
6601,Svalbarðsstrandarhreppur,499,482,17,"0,035269709543569"
6602,Grýtubakkahreppur,365,372,-7,"-0,018817204301075"
6607,Skútustaðahreppur,507,493,14,"0,028397565922921"
6611,Tjörneshreppur,58,58,0,0
6612,Þingeyjarsveit,930,969,-39,"-0,040247678018576"
6706,Svalbarðshreppur,93,92,1,"0,010869565217391"
6709,Langanesbyggð,493,480,13,"0,027083333333333"
Austurland,,12849,12787,62,"0,004848674434973"
7000,Seyðisfjarðarkaupstaður,687,674,13,"0,019287833827893"
7300,Fjarðabyggð,4810,4780,30,"0,006276150627615"
7502,Vopnafjarðarhreppur,657,661,-4,"-0,006051437216339"
7505,Fljótsdalshreppur,74,76,-2,"-0,026315789473684"
7509,Borgarfjarðarhreppur,105,108,-3,"-0,027777777777778"
7613,Breiðdalshreppur,191,183,8,"0,043715846994536"
7617,Djúpavogshreppur,462,461,1,"0,002169197396963"
7620,Fljótsdalshérað,3540,3545,-5,"-0,001410437235543"
7708,Sveitarfélagið Hornafjörður,2323,2299,24,"0,010439321444106"
Suðurland,,26705,26438,267,"0,010099099780619"
8000,Vestmannaeyjabær,4289,4283,6,"0,001400887228578"
8200,Sveitarfélagið Árborg,9131,8964,167,"0,018630075858992"
8508,Mýrdalshreppur,652,626,26,"0,041533546325879"
8509,Skaftárhreppur,568,564,4,"0,00709219858156"
8610,Ásahreppur,243,251,-8,"-0,031872509960159"
8613,Rangárþing eystra,1818,1801,17,"0,009439200444198"
8614,Rangárþing ytra,1608,1599,9,"0,00562851782364"
8710,Hrunamannahreppur,780,777,3,"0,003861003861004"
8716,Hveragerðisbær,2582,2554,28,"0,010963194988254"
8717,Sveitarfélagið Ölfus,2111,2106,5,"0,002374169040836"
8719,Grímsnes- og Grafningshreppur,468,479,-11,"-0,022964509394572"
8720,Skeiða- og Gnúpverjahreppur,701,679,22,"0,03240058910162"
8721,Bláskógabyggð,1108,1115,-7,"-0,00627802690583"
8722,Flóahreppur,646,640,6,"0,009375"
,,,,,
Samtals,,350848,348220,2628,"0,007546953075642"
